,name,acres,buildingcount,buildingsquarefeet,buildingcost,buildingweight,contentcost,permanentresidents,dayoccupants,nightoccupants,buildingloss_wet,buildingloss_ratio_wet,contentloss_wet,debris_wet,displacedpopulation_wet,buildings_nodamage_wet,buildings_slightdamage_wet,buildings_moderatedamage_wet,buildings_extensivedamage_wet,buildings_completedamage_wet,casualtiestotal_day_wet,casualtieslevel1_day_wet,casualtieslevel1_day_wet,casualtieslevel2_day_wet,casualtieslevel2_day_wet,casualtieslevel1_day_wet,casualtieslevel1_day_wet,casualtieslevel2_day_wet,casualtieslevel2_day_wet,casualtiestotal_night_wet,casualtieslevel1_night_wet,casualtieslevel1_night_wet,casualtieslevel2_night_wet,casualtieslevel2_night_wet,casualtieslevel1_night_wet,casualtieslevel1_night_wet,casualtieslevel2_night_wet,casualtieslevel2_night_wet,buildingloss_dry,buildingloss_ratio_dry,contentloss_dry,debris_dry,displacedpopulation_dry,buildings_nodamage_dry,buildings_slightdamage_dry,buildings_moderatedamage_dry,buildings_extensivedamage_dry,buildings_completedamage_dry,casualtiestotal_day_dry,casualtieslevel1_day_dry,casualtieslevel1_day_dry,casualtieslevel2_day_dry,casualtieslevel2_day_dry,casualtieslevel1_day_dry,casualtieslevel1_day_dry,casualtieslevel2_day_dry,casualtieslevel2_day_dry,casualtiestotal_night_dry,casualtieslevel1_night_dry,casualtieslevel1_night_dry,casualtieslevel2_night_dry,casualtieslevel2_night_dry,casualtieslevel1_night_dry,casualtieslevel1_night_dry,casualtieslevel2_night_dry,casualtieslevel2_night_dry,Total_Population,displaced_percap_wet
0,ALAMEDA,395.2337954491987,2252.86266342641,4813193.665930094,583042670.336362,168006.02279744262,309236571.5138757,5214.0,2838.0639856478065,4964.732236433348,35125209.55624744,0.24492524222304515,10720142.440013727,10035.620168880481,163.46085333765328,1441.614967637849,511.37554296428607,201.57811283957668,26.888284511303926,71.40575547339442,28.990513765003232,20.74738197404444,0.8430052781154163,5.753506350249341,1.6465635444182012,20.74738197404444,0.8430052781154163,5.753506350249341,1.6465635444182012,15.131460350016788,11.92249504316224,0.17959584954143226,2.730758591401405,0.29860474687585653,11.92249504316224,0.17959584954143226,2.730758591401405,0.29860474687585653,17373000.357165392,0.12505669855086726,5933480.62844699,4949.732194234331,6.613107939606991,1488.0133216500178,526.5947176121741,207.68078443596195,27.68089814766756,2.8929415805876966,17.94150556455968,12.996017896377248,0.5283885134488951,3.372712183815202,1.0443516033084566,12.996017896377248,0.5283885134488951,3.372712183815202,1.0443516033084566,3.307856398086144,2.885870194201691,0.02107395281878183,0.36131153653561937,0.03960059464461078,2.885870194201691,0.02107395281878183,0.36131153653561937,0.03960059464461078,5214.0,0.03135037463322848
1,ARBOR LODGE,535.9331040699535,3056.956846642866,4598939.367829873,558264001.3447965,181702.86807027875,327816772.8697137,6153.0,3065.604378893628,5875.07541272317,31343960.951078814,0.33815456573988767,9647934.547535356,10714.385025891479,155.9115673004278,1863.3201044046627,742.7487814617582,318.7387005741461,52.35725998166202,79.79200022063505,11.776904967809132,9.114846613739006,0.20589264682878416,2.069813002293481,0.3863420860911759,9.114846613739006,0.20589264682878416,2.069813002293481,0.3863420860911759,16.428936812100115,12.919070596598257,0.22024787976265414,2.906162615494618,0.38345106580041727,12.919070596598257,0.22024787976265414,2.906162615494618,0.38345106580041727,19233762.953526158,0.20023964438664996,6363087.361978669,7019.899434640646,15.831188651812727,1901.3362698177798,762.0504112896527,329.0789898376496,55.04492754198372,9.446248155798653,6.6582267021087045,5.27588335793073,0.11826817937913092,1.0332121562169359,0.23085221691218616,5.27588335793073,0.11826817937913092,1.0332121562169359,0.23085221691218616,5.627651254186357,4.703174127815234,0.06685367400310219,0.7288627299439461,0.12876453584484843,4.703174127815234,0.06685367400310219,0.7288627299439461,0.12876453584484843,6153.0,0.02533911381446901
2,ARDENWALD-JOHNSON CREEK,93.95369629787261,217.94202008787533,493910.6729699123,64130873.23888657,19771.43620155058,47222200.26522388,490.0,289.25832789106664,475.6507410043612,7088838.432398895,0.04370234865402756,3099131.2189266956,2904.767216926713,25.280997888155916,129.92713885158796,50.44230096591062,21.37502965729618,4.412975505315485,11.784575107765036,3.386739405443572,2.5383092660155517,0.07035290633602144,0.6464219004672604,0.1316583053654635,2.5383092660155517,0.07035290633602144,0.6464219004672604,0.1316583053654635,2.4508885428748703,1.8981573770638829,0.03441799003205027,0.4591549029001778,0.05915666562664338,1.8981573770638829,0.03441799003205027,0.4591549029001778,0.05915666562664338,4158935.656736874,0.024461215494928294,2055138.7651851473,2040.2926137637573,1.3290651077813407,136.73165752284322,53.080283014175976,22.484457130836986,4.412975505315485,1.232646914703578,2.19487370211111,1.6722047340708728,0.04379692381625602,0.3961651698769926,0.0827054592991013,1.6722047340708728,0.04379692381625602,0.3961651698769926,0.0827054592991013,0.5908575655513892,0.48360095129028596,0.007793214074451839,0.08470150752744983,0.014761573632441941,0.48360095129028596,0.007793214074451839,0.08470150752744983,0.014761573632441941,490.0,0.05159387324113452
3,ARGAY,786.5677618069817,1723.4794661190954,5228018.281314169,690892322.7926079,223754.2325462012,426616974.9486652,6006.0,3417.9958932238205,5865.167351129362,86064662.587269,0.2472959551334702,31353417.416837797,41736.81981519507,202.15955896303893,1055.699178644764,374.55082135523617,180.8973305954826,56.319815195071875,56.012320328542096,56.053702051334696,39.8078103798768,1.6242351507392196,11.473439136960991,3.148164223819302,39.8078103798768,1.6242351507392196,11.473439136960991,3.148164223819302,29.324330225872693,22.167891045174535,0.5989011692772075,5.419387072689939,1.1381512975154011,22.167891045174535,0.5989011692772075,5.419387072689939,1.1381512975154011,60600087.10472281,0.18649148223819287,20155965.52823409,32506.936344969177,88.20658432238191,1072.3162217659135,380.8213552361395,186.23716632443535,58.49794661190968,25.60677618069815,38.03739761601643,27.35738822381931,1.0690947221971256,7.535494247843945,2.0754302924024626,27.35738822381931,1.0690947221971256,7.535494247843945,2.0754302924024626,17.2908309486653,13.39074852156058,0.332733771700205,2.925817706365503,0.6415244059342916,13.39074852156058,0.332733771700205,2.925817706365503,0.6415244059342916,6006.0,0.03365960022694621
4,ARLINGTON HEIGHTS,385.51711309523813,315.3645833333334,1173879.0141369046,180582265.625,60815.80729166668,113982414.43452382,865.0,862.4255952380951,827.6711309523811,71692023.80952379,0.2555135342261905,21701240.99702381,28716.197916666664,264.3347321428571,107.48139880952382,61.1421130952381,41.83407738095238,21.882440476190478,83.02455357142857,43.01045163690476,30.27796056547619,1.2868612723214286,8.923787946428572,2.5219190848214286,30.27796056547619,1.2868612723214286,8.923787946428572,2.5219190848214286,26.872924107142865,19.58272470238095,0.6394950148809524,5.433088169642857,1.2176355282738096,19.58272470238095,0.6394950148809524,5.433088169642857,1.2176355282738096,46464916.66666667,0.16560244791666667,13853565.825892856,21377.857142857145,116.23759300595233,131.93824404761904,75.94494047619048,51.488095238095234,25.744047619047617,30.249255952380953,32.24873177083333,22.642340401785713,1.0014949404761904,6.630701264880955,1.9741372395833339,22.642340401785713,1.0014949404761904,6.630701264880955,1.9741372395833339,14.847815104166667,10.681977678571428,0.40871250000000003,2.957347470238095,0.7997903273809523,10.681977678571428,0.40871250000000003,2.957347470238095,0.7997903273809523,865.0,0.3055892857142857
5,ARNOLD CREEK,958.4446874253706,1393.8613395368245,3782991.845950993,496783298.0186069,136513.15431862255,264715644.98308456,3339.0,2146.0209744703247,3183.1724051897554,59121755.872785404,0.15018585225919448,16114642.319237381,16102.587950712605,291.1933677429072,827.7857471720612,302.1908191509145,119.09434013321334,25.22210916666925,119.56832391396644,25.205104571771678,18.396007796200017,0.6375642822971643,4.945651150732201,1.2258743257330649,18.396007796200017,0.6375642822971643,4.945651150732201,1.2258743257330649,24.42875330814882,18.86200965554222,0.33574119138995645,4.657926671183803,0.5729987801221089,18.86200965554222,0.33574119138995645,4.657926671183803,0.5729987801221089,20056057.439214386,0.05040467778972106,6010046.79701076,5726.376137601027,20.0263319318384,899.9224311405416,333.08498488533405,130.70923731994023,22.016522489897135,8.128163701111466,11.54965546925127,8.628660010620331,0.2915118126102367,2.0563188347021244,0.5731664376583634,8.628660010620331,0.2915118126102367,2.0563188347021244,0.5731664376583634,3.6634113856917816,3.032705945149892,0.04011880197870644,0.5157926203899234,0.07479421795900273,3.032705945149892,0.04011880197870644,0.5157926203899234,0.07479421795900273,3339.0,0.08720975374151159
6,ASHCREEK,817.2438526862446,2282.528236291982,4816574.087312907,598194879.3263303,167073.8288507413,312100980.62057585,5440.0,2151.358022349482,5177.787082094558,58442922.075303674,0.26842347557983637,16030272.085640319,15754.501032783304,344.24403718526634,1333.6704913319043,547.6043101781162,224.07941252440378,41.124898984623144,136.0491232729345,18.606161167414992,13.814713774562401,0.4058164292819771,3.622863111671392,0.7627768763186364,13.814713774562401,0.4058164292819771,3.622863111671392,0.7627768763186364,30.06969958955791,23.29790183365561,0.41607251939416773,5.639468584746014,0.7163126653104765,23.29790183365561,0.41607251939416773,5.639468584746014,0.7163126653104765,23456099.58817265,0.10421986703722383,7086067.348862883,6192.230019662945,26.708844580440584,1413.5161982419588,583.2337993995573,238.23759996140225,38.999051299466494,8.541587389597925,7.922371256624666,5.863573272737717,0.20872705547256407,1.43988346683588,0.41018993432265966,5.863573272737717,0.20872705547256407,1.43988346683588,0.41018993432265966,5.967648513467758,4.9337652603710715,0.07322149913442023,0.8203561835571912,0.1403112970329654,4.9337652603710715,0.07322149913442023,0.8203561835571912,0.1403112970329654,5440.0,0.06328015389435043
7,BEAUMONT-WILSHIRE,454.325481113061,2682.7273583228525,4534218.6850015735,549962216.177365,170504.66875499705,299401149.80677295,5185.0,2627.054421987053,4934.789654507167,14113347.98172238,0.12470340536639188,4613523.0749665145,4300.4523995879,23.27893467717339,1895.921976790684,556.3015522123453,196.69263668696385,23.273431901068662,10.537760731792542,6.232760354067622,4.961570087771933,0.10441062784932915,0.9647303888216889,0.20204733359880922,4.961570087771933,0.10441062784932915,0.9647303888216889,0.20204733359880922,4.09047784922237,3.4312530340367786,0.034921985676908046,0.563337752230458,0.060968435968695105,3.4312530340367786,0.034921985676908046,0.563337752230458,0.060968435968695105,12071692.22370276,0.10634722974234098,4080603.062136386,3690.904797927324,4.41971611194427,1903.6466191382065,557.1116212096337,197.22844408087656,23.273431901068662,1.4672419930688614,5.603834980310656,4.484784161519173,0.09489333946370315,0.8383876451079683,0.18576703556041363,4.484784161519173,0.09489333946370315,0.8383876451079683,0.18576703556041363,2.6750734651404318,2.347863107481056,0.016169739517100292,0.28068343788513744,0.030356971906968174,2.347863107481056,0.016169739517100292,0.28068343788513744,0.030356971906968174,5185.0,0.0044896691759254365
8,BOISE,255.55472360634323,1105.8220299745467,3747090.900789262,574975460.7187788,238873.67186557766,434847571.15154994,3298.0,3528.3555886684644,3324.1946867598567,63563589.183694854,0.24049724005656437,25738677.824596833,32524.417283965944,148.55423954930637,657.5387154206304,245.39792308601204,115.07276418344482,33.318499365262326,54.494127919197574,65.07395891356117,45.016542539159815,2.2170042859600163,13.463692205332217,4.376656080128525,45.016542539159815,2.2170042859600163,13.463692205332217,4.376656080128525,20.199980859064762,14.774571790820575,0.500181790739829,3.9650309364307983,0.9601910083258308,14.774571790820575,0.500181790739829,3.9650309364307983,0.9601910083258308,39863967.050989166,0.1434727412538726,16468634.727063585,22815.684354625584,10.570309419444635,683.2790131904613,255.89404219394441,119.97472345885949,34.98714439502177,11.687106736260075,47.62054489364001,33.33276892501278,1.5871502381573142,9.559983978982578,3.1405538978749017,33.33276892501278,1.5871502381573142,9.559983978982578,3.1405538978749017,6.602784432021729,5.07492689085252,0.14685853677254176,1.0921474005517116,0.2888558946677049,5.07492689085252,0.14685853677254176,1.0921474005517116,0.2888558946677049,3298.0,0.04504373546067507
9,BRENTWOOD/ DARLINGTON,1147.9910710749045,5301.8230778972,7833956.626265364,948732415.843189,304501.02555743774,593112342.7351117,12957.0,7509.629766119486,12378.536095947728,53314783.94941711,0.33642632046604853,18965478.3133739,21561.867269758546,53.12336096954145,3776.7334378134565,1026.97896791545,388.1478702450889,82.14674077003401,27.816061153176307,32.649058187031166,25.898309823703276,0.43492928395988945,5.544215284879258,0.771625439286966,25.898309823703276,0.43492928395988945,5.544215284879258,0.771625439286966,9.933389306205274,8.395475021081037,0.07287186703316902,1.341896887100225,0.12313914076635676,8.395475021081037,0.07287186703316902,1.341896887100225,0.12313914076635676,49343087.83018946,0.3143009131041111,17263598.857404534,20340.735030967586,26.685355032872714,3784.1497946907793,1029.1276668002083,389.3127103434382,82.14674077003401,17.086165292745125,30.060234852223715,23.972838089959872,0.38982879112277863,5.00428472337817,0.6933381647750622,23.972838089959872,0.38982879112277863,5.00428472337817,0.6933381647750622,7.910606244334115,6.847421827646613,0.046245014518127035,0.9369736072853447,0.0799607240956342,6.847421827646613,0.046245014518127035,0.9369736072853447,0.0799607240956342,12957.0,0.004099973834185495
